#ies_format_version: 1.0
#file: 20250819_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250819;	124504;	1755587704.000;	        1340
20250819;	124508;	1755587708.000;	        1344
20250819;	124512;	1755587712.000;	        1348
20250819;	124516;	1755587716.000;	        1352
20250819;	124520;	1755587720.000;	        1356
20250819;	124524;	1755587724.000;	        1360
20250819;	124528;	1755587728.000;	        1364
20250819;	124532;	1755587732.000;	        1368
20250819;	124536;	1755587736.000;	        1372
20250819;	124540;	1755587740.000;	        1376
20250819;	124544;	1755587744.000;	        1380
20250819;	124548;	1755587748.000;	        1384
20250819;	124552;	1755587752.000;	        1388
20250819;	124556;	1755587756.000;	        1392
20250819;	124600;	1755587760.000;	        1396
20250819;	124604;	1755587764.000;	        1400
20250819;	124608;	1755587768.000;	        1404
20250819;	124612;	1755587772.000;	        1408
20250819;	124616;	1755587776.000;	        1412
20250819;	124620;	1755587780.000;	        1416
20250819;	124624;	1755587784.000;	        1420
20250819;	124628;	1755587788.000;	        1424
20250819;	124632;	1755587792.000;	        1428
20250819;	124636;	1755587796.000;	        1432
20250819;	124640;	1755587800.000;	       err32
20250819;	124644;	1755587804.000;	       err32
20250819;	124648;	1755587808.000;	       err32
20250819;	124652;	1755587812.000;	       err32
20250819;	124656;	1755587816.000;	       err32
20250819;	124700;	1755587820.000;	       err32
20250819;	124704;	1755587824.000;	       err32
20250819;	124708;	1755587828.000;	       err32
20250819;	124712;	1755587832.000;	       err32
20250819;	124716;	1755587836.000;	       err32
20250819;	124720;	1755587840.000;	       err32
20250819;	124724;	1755587844.000;	       err32
20250819;	124728;	1755587848.000;	       err32
20250819;	124732;	1755587852.000;	       err32
20250819;	124736;	1755587856.000;	       err32
20250819;	124740;	1755587860.000;	       err32
20250819;	124744;	1755587864.000;	       err32
20250819;	124748;	1755587868.000;	       err32
20250819;	124752;	1755587872.000;	       err32
20250819;	124756;	1755587876.000;	       err32
20250819;	124800;	1755587880.000;	       err32
20250819;	124804;	1755587884.000;	       err32
20250819;	124808;	1755587888.000;	       err32
20250819;	124812;	1755587892.000;	       err32
20250819;	124816;	1755587896.000;	       err32
20250819;	124820;	1755587900.000;	       err32
20250819;	124824;	1755587904.000;	       err32
20250819;	124828;	1755587908.000;	       err32
20250819;	124832;	1755587912.000;	       err32
20250819;	124836;	1755587916.000;	       err32
20250819;	124840;	1755587920.000;	       err32
20250819;	124844;	1755587924.000;	       err32
20250819;	124848;	1755587928.000;	       err32
20250819;	124852;	1755587932.000;	       err32
20250819;	124856;	1755587936.000;	       err32
20250819;	124900;	1755587940.000;	       err32
20250819;	124904;	1755587944.000;	       err32
20250819;	124908;	1755587948.000;	       err32
20250819;	124912;	1755587952.000;	       err32
20250819;	124916;	1755587956.000;	       err32
20250819;	124920;	1755587960.000;	       err32
20250819;	124924;	1755587964.000;	       err32
20250819;	124928;	1755587968.000;	       err32
20250819;	124932;	1755587972.000;	       err32
20250819;	124936;	1755587976.000;	       err32
20250819;	124940;	1755587980.000;	       err32
20250819;	124944;	1755587984.000;	       err32
20250819;	124948;	1755587988.000;	       err32
20250819;	124952;	1755587992.000;	       err32
20250819;	124956;	1755587996.000;	       err32
20250819;	125000;	1755588000.000;	       err32
20250819;	125004;	1755588004.000;	       err32
20250819;	125008;	1755588008.000;	       err32
20250819;	125012;	1755588012.000;	       err32
20250819;	125016;	1755588016.000;	       err32
20250819;	125020;	1755588020.000;	       err32
20250819;	125024;	1755588024.000;	       err32
20250819;	125028;	1755588028.000;	       err32
20250819;	125032;	1755588032.000;	       err32
20250819;	125036;	1755588036.000;	       err32
20250819;	125040;	1755588040.000;	       err32
20250819;	125044;	1755588044.000;	       err32
20250819;	125048;	1755588048.000;	       err32
20250819;	125052;	1755588052.000;	       err32
20250819;	125056;	1755588056.000;	       err32
20250819;	125100;	1755588060.000;	       err32
20250819;	125104;	1755588064.000;	       err32
20250819;	125108;	1755588068.000;	       err32
20250819;	125112;	1755588072.000;	       err32
20250819;	125116;	1755588076.000;	       err32
20250819;	125120;	1755588080.000;	       err32
20250819;	125124;	1755588084.000;	       err32
20250819;	125128;	1755588088.000;	       err32
